,Round,Mean,xAsked,QCount
0,!CH,0.6333333333333333,30,10
1,!ED,0.6722222222222223,180,10
2,!MU,0.7617021276595745,470,80
3,309,0.6846153846153846,130,10
4,331,0.4076923076923077,130,10
5,333,0.4153846153846154,130,10
6,334,0.5192307692307693,260,20
7,ART,0.6385057900635039,66925,320
8,CHA,0.775,40,10
9,CHR,0.6003699136868064,8110,80
10,COM,0.8666666666666667,90,10
11,COU,0.7518518518518519,270,10
12,CRY,0.7348153185701535,23527,210
13,CUR,0.6692436478235179,20308,90
14,DIS,0.82,600,40
15,ENT,0.675,80,10
16,FIL,0.6963056850980581,290338,1560
17,FIN,0.6235294117647059,170,10
18,FOO,0.6551965262504934,88665,460
19,GAM,0.7875,160,10
20,GEO,0.7033282385601547,128236,660
21,GOT,0.7222222222222222,360,40
22,GRA,0.6510731843248692,290677,1450
23,HAL,0.5058823529411764,680,40
24,HIS,0.6868969531442387,44669,230
25,LIN,0.7384615384615385,130,10
26,LIS,0.6411665257819104,7098,30
27,MUS,0.6446807257508514,288639,1579
28,OCT,0.6683417085427136,199,10
29,PIC,0.6036144578313253,830,50
30,SCI,0.6659361523778745,99017,520
31,SCO,0.6324324324324324,370,10
32,SPI,0.6411764705882353,170,10
33,SPO,0.6270410546530337,96335,490
34,TED,0.6785714285714286,280,40
35,TEL,0.7769230769230769,130,10
36,THA,0.7785046728971963,1070,10
